Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,141.100006,141.100006,141.100006,141.100006,78.669342,0
2007-01-02,141.000000,145.000000,141.000000,143.050003,79.756561,190431
2007-01-03,142.800003,143.000000,140.199997,141.500000,78.892372,344771
2007-01-04,141.899994,141.899994,137.550003,140.250000,78.195427,145274
2007-01-05,138.699997,139.500000,136.699997,137.000000,76.383423,144816
2007-01-08,137.100006,139.100006,136.800003,136.800003,76.271904,787190
2007-01-09,137.399994,140.449997,137.399994,138.649994,77.303360,434565
2007-01-10,137.500000,139.500000,134.899994,138.850006,77.414871,326739
2007-01-11,138.850006,142.899994,138.850006,142.699997,79.561409,286268
2007-01-12,142.100006,142.899994,141.449997,141.850006,79.087502,834683
2007-01-15,141.949997,142.800003,140.350006,142.250000,79.907654,148920
2007-01-16,142.300003,148.500000,140.500000,146.750000,82.435448,462344
2007-01-17,146.750000,148.500000,144.399994,146.350006,82.210770,168496
2007-01-18,147.600006,147.600006,144.300003,144.949997,81.424339,625432
2007-01-19,144.949997,150.399994,144.949997,149.199997,83.811745,917989
2007-01-22,150.300003,156.449997,150.300003,151.000000,84.822891,1034313
2007-01-23,150.300003,151.100006,148.050003,149.000000,83.699394,154863
2007-01-24,150.199997,155.000000,150.199997,155.000000,87.069839,320849
2007-01-25,157.000000,161.699997,153.199997,154.699997,86.901321,253172
2007-01-26,154.350006,154.850006,151.100006,153.500000,86.227242,137172
2007-01-29,154.000000,155.899994,153.500000,155.649994,87.434959,160618
2007-01-30,155.100006,156.000000,152.149994,155.149994,87.154091,125904
2007-01-31,155.500000,158.800003,153.500000,157.550003,88.502281,242445
2007-02-01,159.000000,159.000000,153.199997,153.300003,86.114891,333053
2007-02-02,152.000000,156.300003,148.000000,155.000000,87.069839,493656
2007-02-05,154.949997,156.250000,153.850006,155.449997,87.322624,291061
2007-02-06,156.000000,156.050003,154.649994,155.750000,87.491158,280180
2007-02-07,156.949997,168.000000,155.250000,163.449997,91.816551,523295
2007-02-08,163.300003,166.800003,162.699997,165.100006,92.743431,360413
2007-02-09,166.100006,167.199997,160.399994,162.149994,91.086281,291921
2007-02-12,161.850006,162.949997,159.649994,160.699997,90.271744,145228
2007-02-13,160.800003,163.449997,159.449997,160.350006,90.075157,405438
2007-02-14,161.500000,163.300003,161.149994,162.500000,91.282883,334305
2007-02-15,162.500000,162.500000,160.000000,160.699997,90.271744,137911
2007-02-16,160.699997,161.850006,159.000000,161.050003,90.468376,301328
2007-02-19,161.800003,162.500000,159.149994,161.949997,90.973946,64983
2007-02-20,161.949997,162.000000,161.000000,161.750000,90.861603,77336
2007-02-21,162.000000,162.500000,159.300003,159.750000,89.738121,132374
2007-02-22,161.899994,162.500000,161.100006,161.550003,90.749245,196549
2007-02-23,161.550003,161.699997,159.850006,161.199997,90.552628,98925
2007-02-26,160.899994,161.899994,160.100006,160.899994,90.384109,118254
2007-02-27,158.550003,160.899994,150.000000,150.899994,84.766701,356477
2007-02-28,150.899994,152.899994,141.500000,151.149994,84.907143,686379
2007-03-01,153.000000,156.449997,142.899994,148.000000,83.137672,424942
2007-03-02,149.100006,152.000000,146.500000,148.250000,83.278107,412954
2007-03-05,142.350006,145.000000,141.750000,143.649994,80.694061,348426
2007-03-06,143.649994,147.399994,143.000000,147.000000,82.575912,320983
2007-03-07,147.300003,148.949997,145.000000,147.750000,82.997215,261667
2007-03-08,147.750000,154.949997,147.750000,151.699997,85.216095,383170
2007-03-09,151.050003,152.800003,149.399994,150.550003,84.570099,242066
2007-03-12,151.699997,152.800003,148.300003,151.149994,84.907143,249534
2007-03-13,151.699997,152.300003,149.000000,149.199997,83.811745,216978
2007-03-14,145.300003,147.850006,143.300003,145.000000,81.452438,331771
2007-03-15,146.600006,148.449997,145.500000,147.100006,82.632095,208067
2007-03-16,146.199997,151.000000,146.199997,150.050003,84.289215,310308
2007-03-19,150.050003,153.550003,150.050003,152.149994,85.468872,151881
2007-03-20,152.149994,156.000000,150.699997,155.600006,87.406891,343681
2007-03-21,155.600006,156.949997,154.000000,156.050003,87.659668,708851
2007-03-22,159.500000,160.399994,157.149994,157.500000,88.474205,187865
2007-03-23,161.250000,163.100006,158.250000,162.050003,91.030128,512681
2007-03-26,161.500000,167.000000,160.250000,162.100006,91.058220,631252
2007-03-27,162.100006,165.149994,159.300003,162.500000,91.282883,753770
2007-03-28,162.000000,162.300003,155.649994,156.699997,88.024803,411213
2007-03-29,156.500000,163.000000,156.199997,162.600006,91.339081,716482
2007-03-30,160.000000,164.449997,159.000000,162.149994,91.086281,371894
2007-04-02,160.750000,163.750000,160.750000,162.800003,91.451431,148247
2007-04-03,164.500000,173.899994,164.449997,172.600006,96.956490,773997
2007-04-04,172.649994,175.500000,170.500000,171.149994,96.141945,328375
2007-04-05,171.000000,171.800003,170.050003,171.500000,96.338531,160943
2007-04-10,171.500000,172.850006,170.100006,172.550003,96.928421,165419
2007-04-11,172.000000,172.800003,169.500000,171.000000,96.057709,348297
2007-04-12,170.399994,170.949997,167.399994,168.649994,94.737595,316479
2007-04-13,170.000000,170.600006,166.899994,168.949997,94.906136,172038
2007-04-16,170.300003,171.600006,168.500000,169.699997,95.327431,178227
2007-04-17,170.000000,170.000000,166.050003,168.750000,94.793793,197996
2007-04-18,167.500000,168.750000,166.300003,166.850006,93.726471,207840
2007-04-19,164.000000,167.600006,162.699997,167.350006,94.007332,207250
2007-04-20,168.149994,171.899994,168.000000,171.399994,96.282402,148075
2007-04-23,171.100006,172.800003,169.350006,172.500000,96.900322,205116
2007-04-24,172.000000,172.850006,162.449997,163.750000,91.985069,530156
2007-04-25,163.500000,168.300003,160.100006,166.899994,93.754562,407965
2007-04-26,168.899994,168.899994,162.600006,164.899994,92.631050,288186
2007-04-27,164.750000,165.449997,162.500000,164.550003,92.434464,189454
2007-04-30,164.449997,165.899994,163.000000,164.750000,92.546822,133506
2007-05-02,165.000000,167.000000,163.750000,165.149994,92.771500,161705
2007-05-03,165.000000,165.750000,161.300003,162.300003,91.170563,300650
2007-05-04,161.500000,167.899994,161.149994,167.000000,93.810745,428135
2007-05-07,167.000000,169.449997,166.550003,168.649994,94.737595,131810
2007-05-08,168.449997,169.100006,164.050003,164.399994,92.350197,283605
2007-05-09,164.399994,167.350006,163.149994,164.399994,92.350197,256371
2007-05-10,164.199997,165.449997,160.350006,160.350006,90.075157,287974
2007-05-11,159.600006,160.899994,156.100006,159.550003,89.625763,327193
2007-05-14,160.000000,164.500000,159.100006,160.550003,90.187508,183912
2007-05-15,160.800003,169.449997,160.800003,168.949997,94.906136,418559
2007-05-16,170.000000,175.949997,168.550003,175.100006,98.360832,670853
2007-05-17,175.199997,182.149994,173.800003,181.300003,101.843628,549644
2007-05-18,180.000000,182.199997,176.449997,180.050003,101.141464,337301
2007-05-21,186.000000,193.300003,186.000000,189.500000,106.449905,730498
2007-05-22,189.149994,192.100006,184.600006,190.050003,106.758858,405516
2007-05-23,190.000000,198.350006,189.600006,193.500000,108.696892,530113
2007-05-24,193.500000,194.500000,189.550003,190.899994,107.236359,401086
2007-05-25,188.800003,193.649994,188.300003,192.050003,107.882347,346241
2007-05-28,193.600006,196.949997,193.000000,196.750000,110.522522,75757
2007-05-29,198.000000,198.000000,193.350006,195.000000,109.539452,164808
2007-05-30,191.050003,194.899994,190.300003,193.449997,108.668770,290857
2007-05-31,193.449997,199.899994,193.449997,199.000000,111.786430,273025
2007-06-01,199.850006,202.800003,198.500000,201.600006,113.246971,474209
2007-06-04,201.050003,203.500000,200.550003,201.600006,113.246971,324168
2007-06-05,201.600006,202.750000,200.300003,201.399994,113.134605,169088
2007-06-06,201.600006,201.600006,191.050003,191.449997,107.545303,544970
2007-06-07,192.300003,195.199997,188.000000,189.000000,106.169029,486053
2007-06-08,189.000000,189.000000,182.949997,186.000000,104.483818,571711
2007-06-11,187.649994,194.250000,186.500000,192.949997,108.387917,307542
2007-06-12,194.500000,197.699997,190.100006,194.000000,108.977760,646045
2007-06-13,192.399994,196.750000,187.199997,192.649994,108.219360,524523
2007-06-14,195.300003,204.800003,195.300003,203.399994,114.258095,731456
2007-06-15,203.800003,208.649994,200.699997,207.350006,116.476974,381194
2007-06-18,207.350006,208.899994,201.850006,204.800003,115.044556,365522
2007-06-19,203.300003,207.149994,197.000000,203.399994,114.258095,911765
2007-06-20,204.800003,206.250000,202.399994,204.000000,114.595161,213694
2007-06-21,202.000000,205.000000,199.500000,203.800003,114.482826,319646
2007-06-22,201.800003,205.500000,201.250000,204.649994,114.960289,276501
2007-06-25,202.699997,202.899994,199.000000,202.899994,113.977211,398959
2007-06-26,200.199997,205.399994,200.199997,202.449997,113.724449,248575
2007-06-27,200.800003,202.149994,197.050003,198.300003,111.393234,659460
2007-06-28,200.899994,204.800003,200.199997,204.399994,114.819824,411425
